,id,name,selver_guess,price,selver_price,price/kg,selver_price_kg,similarity
7416,7189284,Joogipudel lastele Philips Avent 300ml,"Tass kõrrega 12+m, PHILIPS AVENT, 300ml",11.59,12.99,11.59,12.99,59
6797,147386,"Jook kirsi-õuna Tymbark 0,25l","Kirsstomat punane, 250 g",1.25,0.85,5.0,3.4,59
10149,7181180,Kehakoorija BonMerité ylang 220g,"Kehakoorija Apelsin, SIGNE SEEBID, 200g",11.99,9.99,0.0,49.95,59
13563,106618,"Kpn.vein B&G Rose D'Anjou Passeport 0,75l",Barton & Guestier Rose D`Anjou 75 cl,9.99,7.49,13.32,9.99,59
13222,1356263,"Muu alk.jook G:N LD Grapefruit 5,5%vol 0,5l","Long drink Grapefruit, G:N, 1,5 L pet",1.79,4.19,3.58,2.79,59
13800,7221058,"Kpn.vein Vilamar Terra Alta Reserva 0,75l",Lan Rioja Reserva 75 cl,14.19,13.99,0.0,18.65,59
9028,7018285,Kuivšampoon Syoss anti.grease 1 tk,"Kuivšampoon XXL Volume, BATISTE, 200 ml",7.29,6.69,47.96,33.45,59
9571,7185335,Juuksevärv Syoss Cool Blonds Nr.10-55,"Püsivärv Color 10-5, SYOSS, 1 tk",7.59,7.49,66.0,7.49,59
8603,7207051,Päevakreem kortsudevastane Nivea 65+50ml,"Päevakreem Q10+ 30-50a, NIVEA, 50 ml",10.09,14.99,201.8,299.8,59
8613,7203568,"Näokreem BonMerité sügavniisutav,mango 50ml","Näokreem Sensitive meestele, NIVEA, 50 ml",20.99,9.49,419.8,189.8,59
7507,7258620,Mängukomplekt Hot Wheels trikipesula,"Mudelautod, HOT WHEELS, 5 tk",44.99,13.49,44.99,13.49,59
11622,7111001,"LED Lamp ICA Mini Globe 3,5W E27","LED lamp A60 10,5W E27 matt klaas, PHILIPS, 1 tk",1.49,7.99,1.49,7.99,59
9027,7149340,Silmaümbruse geel Lumene Lähde niis.15ml,"Silmaümbruskreem kummeliga, PUHAS LOODUS, 15 ml",19.99,5.99,1332.67,399.33,59
1282,978240,Puding Monte kookose kastmega Zott 150g,"Proteiinipuding kakao, TERE, 150 g",1.69,1.29,11.27,8.6,59
6728,814314,Kinkekomplekt Selection by Rimi,"Selection mango nektar, GRANINI, 750 ml",8.99,2.99,8.99,3.99,59
7043,7159465,M/a mudelauto üllatusmuna Welly 1:60,"Üllatusmuna Shimmer & Shine, , 20 g",3.59,0.99,3.59,49.5,59
